,r_BTC-r_SP500,r_BTC-r_GOLD,r_BTC-r_CPF3M
32,0.38478421551522657,0.24496552219529077,0.06853908687737299
64,0.39034849543520395,0.23073201616293146,0.014897711666607616
128,0.44758829630109176,0.10803995642379191,0.052827022666835866
256,0.45505895970570165,0.055351242716498564,-0.019171229387453654
