,count,mean,std,min,25%,50%,75%,max
BTC,1827.0,36304.23771756979,21116.12370078876,4800.0,19610.295,32254.2,50722.795,106133.74
ETH,1827.0,1981.8480131362892,1147.551474000904,107.82,1248.51,1870.4,2893.67,4807.98
SP500,1826.0,4260.841573324548,767.0046056577493,2237.39990234375,3822.827392578125,4205.4501953125,4605.3798828125,6090.27001953125
CPF3M,1458.0,3.152681755829904,2.244777820522654,0.09,0.22,4.51,5.26,5.49
usdt_supply,1827.0,119621251785.7516,2719520846.8139834,119162238140.344,119162238140.344,119162238140.344,119162238140.344,140629475030.0163
usdc_supply,1827.0,36040312160.928314,838418838.9975078,34366606494.3096,35932954125.0491,35932954125.0491,35932954125.0491,43791650657.99324
